N. POZZO;DATA;LIVELLO STATICO - m s.l.m.;LIVELLO DA PR - m;NOTE LIVELLO;data epoch
56;27/07/1999;5.22;-2.6;-;207
56;24/11/1999;5.97;-1.85;-;327
56;31/01/2000;4.5;-3.32;-;395
56;19/04/2000;5.87;-1.95;-;474
56;19/07/2000;3.44;-4.38;-;565
56;13/11/2000;4.3;-3.52;-;682
56;05/02/2001;5.2;-2.62;-;766
56;18/04/2001;5.09;-2.73;-;838
56;16/07/2001;4.7;-3.12;-;927
56;05/11/2001;4.55;-3.27;-;1039
56;28/01/2002;4.8;-3.02;-;1123
56;06/05/2002;4.8;-3.02;-;1221
56;22/07/2002;4.8;-3.02;-;1298
56;06/11/2002;4.8;-3.02;-;1405
56;27/01/2003;4.56;-3.26;-;1487
56;29/04/2003;5.8;-2.02;-;1579
56;22/07/2003;3.95;-3.87;-;1663
56;03/11/2003;4.24;-3.58;-;1767
56;27/01/2004;4.65;-3.17;-;1852
56;03/05/2004;4.28;-3.54;-;1949
56;02/08/2004;4.52;-3.3;-;2040
56;16/11/2004;4.74;-3.08;-;2146
56;31/01/2005;;;N.R.;2222
56;29/04/2005;4.66;-3.16;-;2310
56;29/07/2005;4.24;-3.58;-;2401
56;08/11/2005;4.9;-2.92;-;2503
56;06/02/2006;;;N.R.;2593
56;05/06/2006;4.7;-3.12;-;2712
56;27/07/2006;4.34;-3.48;-;2764
56;06/11/2006;4.57;-3.25;-;2866
56;07/02/2007;4.91;-2.91;-;2959
56;27/04/2007;4.84;-2.98;-;3038
56;26/07/2007;4.34;-3.48;-;3128
56;08/11/2007;4.22;-3.6;-;3233
56;12/02/2008;4.8;-3.02;-;3329
56;21/04/2008;4.62;-3.2;-;3398
56;17/07/2008;4.72;-3.1;-;3485
56;12/11/2008;4.52;-3.3;-;3603
56;05/02/2009;5.02;-2.8;-;3688
56;11/05/2009;5.29;-2.53;-;3783
56;20/07/2009;4.62;-3.2;-;3853
56;03/11/2009;4.77;-3.05;-;3959
56;04/02/2010;4.86;-2.96;-;4052
56;22/04/2010;5.21;-2.61;-;4129
56;20/07/2010;4.62;-3.2;-;4218
56;10/11/2010;5.14;-2.68;-;4331
56;25/01/2011;5.02;-2.8;-;4407
56;20/04/2011;4.87;-2.95;-;4492
56;11/07/2011;4.52;-3.3;-;4574
56;02/11/2011;4.38;-3.44;-;4688
56;20/02/2012;4.88;-2.94;-;4798
56;16/04/2012;4.72;-3.1;-;4854
56;10/07/2012;4.15;-3.67;-;4939
56;05/11/2012;4.29;-3.53;-;5057
56;29/01/2013;4.22;-3.6;-;5142
56;17/04/2013;4.71;-3.11;-;5220
56;25/07/2013;4.38;-3.44;-;5319
56;24/10/2013;4.36;-3.46;-;5410
56;31/01/2014;5.37;-2.45;-;5509
56;15/04/2014;5.72;-2.1;-;5583
56;22/07/2014;5.92;-1.9;-;5681
56;11/11/2014;6.26;-1.56;-;5793
56;02/02/2015;6.77;-1.05;-;5876
56;07/05/2015;6.29;-1.53;-;5970
56;24/07/2015;5.87;-1.95;-;6048
56;28/10/2015;5.26;-2.56;-;6144
56;01/02/2016;6.8;-1.02;-;6240
56;18/04/2016;;;N.R.;6317
56;15/07/2016;4.6;-3.22;-;6405
56;16/11/2016;6.2;-1.62;-;6529
56;27/01/2017;6.77;-1.05;-;6601
56;12/04/2017;4.8;-3.02;-;6676
56;21/07/2017;5.6;-2.22;-;6776
56;08/11/2017;5.11;-2.71;-;6886
56;26/01/2018;5.29;-2.53;-;6965
56;09/04/2018;4.67;-3.15;-;7038
56;16/07/2018;;;N.R.;7136
56;24/10/2018;4.65;-3.17;-;7236
56;23/01/2019;5.01;-2.81;-;7327
56;08/04/2019;4.8;-3.02;-;7402
56;16/07/2019;5.59;-2.23;-;7501
56;22/10/2019;4.45;-3.37;-;7599
56;30/01/2020;4.95;-2.87;-;7699
56;08/04/2020;5.82;-2;-;7768
56;16/07/2020;5.5;-2.32;-;7867
56;29/10/2020;4.52;-3.3;-;7972
56;22/01/2021;4.5;-3.32;-;8057
56;15/04/2021;4.48;-3.34;-;8140
56;12/07/2021;6.55;-1.27;-;8228
56;28/10/2021;4.45;-3.37;-;8336
58;10/05/1999;15.11;-2.12;-;129
58;27/07/1999;15.03;-2.2;-;207
58;17/11/1999;15.76;-1.47;-;320
58;24/01/2000;15.3;-1.93;-;388
58;21/04/2000;14.63;-2.6;-;476
58;19/07/2000;14.75;-2.48;-;565
58;10/11/2000;15.5;-1.73;-;679
58;07/02/2001;15.6;-1.63;-;768
58;24/04/2001;15.68;-1.55;-;844
58;19/07/2001;15.1;-2.13;-;930
58;20/11/2001;14.83;-2.4;-;1054
58;07/05/2002;15.36;-1.87;-;1222
58;24/07/2002;14.96;-2.27;-;1300
58;14/11/2002;15.13;-2.1;-;1413
58;07/02/2003;15.6;-1.63;-;1498
58;07/05/2003;15.48;-1.75;-;1587
58;29/07/2003;14.78;-2.45;-;1670
58;07/11/2003;14.58;-2.65;-;1771
58;02/02/2004;15.16;-2.07;-;1858
58;10/05/2004;15.56;-1.67;-;1956
58;09/08/2004;;;N.R.;2047
58;15/11/2004;15.14;-2.09;-;2145
58;31/01/2005;;;N.R.;2222
58;27/04/2005;15.2;-2.03;-;2308
58;29/07/2005;14.99;-2.24;-;2401
58;09/11/2005;15.79;-1.44;-;2504
58;06/02/2006;;;N.R.;2593
58;29/05/2006;15.2;-2.03;-;2705
58;24/07/2006;14.86;-2.37;-;2761
58;08/11/2006;14.91;-2.32;-;2868
58;05/02/2007;15.1;-2.13;-;2957
58;24/04/2007;15.23;-2;-;3035
58;25/07/2007;14.55;-2.68;-;3127
58;08/11/2007;14.01;-3.22;-;3233
58;04/02/2008;14.13;-3.1;-;3321
58;20/04/2008;14.46;-2.77;-;3397
58;17/07/2008;14.59;-2.64;-;3485
58;03/11/2008;14.23;-3;-;3594
58;05/02/2009;14.96;-2.27;-;3688
58;11/05/2009;14.98;-2.25;-;3783
58;20/07/2009;14.51;-2.72;-;3853
58;02/11/2009;14.26;-2.97;-;3958
58;02/02/2010;14.59;-2.64;-;4050
58;20/04/2010;14.68;-2.55;-;4127
58;19/07/2010;14.51;-2.72;-;4217
58;09/11/2010;14.93;-2.3;-;4330
58;25/01/2011;14.96;-2.27;-;4407
58;18/04/2011;14.82;-2.41;-;4490
58;08/07/2011;14.26;-2.97;-;4571
58;02/11/2011;14.23;-3;-;4688
58;20/02/2012;14.26;-2.97;-;4798
58;17/04/2012;14.25;-2.98;-;4855
58;13/07/2012;13.9;-3.33;-;4942
58;31/10/2012;13.73;-3.5;-;5052
58;04/02/2013;14.95;-2.28;-;5148
58;17/04/2013;15.03;-2.2;-;5220
58;23/07/2013;14.47;-2.76;-;5317
58;21/10/2013;14.35;-2.88;-;5407
58;05/02/2014;;;N.R.;5514
58;22/04/2014;15.59;-1.64;-;5590
58;23/07/2014;15.86;-1.37;-;5682
58;21/10/2014;;;N.R.;5772
58;12/02/2015;;;N.R.;5886
58;20/04/2015;14.91;-2.32;-;5953
58;30/07/2015;15;-2.23;-;6054
58;05/11/2015;14.87;-2.36;-;6152
58;01/02/2016;14.81;-2.42;-;6240
58;18/04/2016;15.31;-1.92;-;6317
58;15/07/2016;15.03;-2.2;-;6405
58;08/11/2016;15.9;-1.33;-;6521
58;31/01/2017;15.1;-2.13;-;6605
58;02/05/2017;16.23;-1;-;6696
58;21/07/2017;14.68;-2.55;-;6776
58;31/10/2017;14.83;-2.4;-;6878
58;26/01/2018;14.93;-2.3;-;6965
58;09/04/2018;15.36;-1.87;-;7038
58;16/07/2018;15.05;-2.18;-;7136
58;05/11/2018;14.87;-2.36;-;7248
58;23/01/2019;15.22;-2.01;-;7327
58;09/04/2019;15.3;-1.93;-;7403
58;16/07/2019;15.2;-2.03;-;7501
58;28/10/2019;15.12;-2.11;-;7605
58;30/01/2020;15.3;-1.93;-;7699
58;09/04/2020;15.11;-2.12;-;7769
58;16/07/2020;14.85;-2.38;-;7867
58;02/11/2020;15.1;-2.13;-;7976
58;22/01/2021;15.34;-1.89;-;8057
58;12/04/2021;15.54;-1.69;-;8137
58;12/07/2021;15.26;-1.97;-;8228
58;25/10/2021;14.92;-2.31;-;8333
60;10/05/1999;15.82;-1.6;-;129
60;20/07/1999;15.65;-1.77;-;200
60;11/11/1999;15.9;-1.52;-;314
60;02/02/2000;;;N.R.;397
60;17/04/2000;15.9;-1.52;-;472
60;26/07/2000;15.82;-1.6;-;572
60;07/11/2000;16.22;-1.2;-;676
60;07/02/2001;16.02;-1.4;-;768
60;23/04/2001;16.37;-1.05;-;843
60;18/07/2001;15.86;-1.56;-;929
60;06/11/2001;15.91;-1.51;-;1040
60;29/01/2002;15.94;-1.48;-;1124
60;23/04/2002;15.52;-1.9;-;1208
60;31/07/2002;15.72;-1.7;-;1307
60;05/11/2002;15.71;-1.71;-;1404
60;10/02/2003;16.06;-1.36;-;1501
60;06/05/2003;16.05;-1.37;-;1586
60;23/07/2003;15.69;-1.73;-;1664
60;11/11/2003;15.91;-1.51;-;1775
60;30/01/2004;15.88;-1.54;-;1855
60;10/05/2004;16.1;-1.32;-;1956
60;04/08/2004;15.95;-1.47;-;2042
60;08/11/2004;16.25;-1.17;-;2138
60;31/01/2005;;;N.R.;2222
60;03/05/2005;16.13;-1.29;-;2314
60;01/08/2005;15.88;-1.54;-;2404
60;07/11/2005;16.19;-1.23;-;2502
60;06/02/2006;;;N.R.;2593
60;31/05/2006;15.92;-1.5;-;2707
60;26/07/2006;15.74;-1.68;-;2763
60;14/11/2006;15.64;-1.78;-;2874
60;12/02/2007;16.17;-1.25;-;2964
60;20/04/2007;16.27;-1.15;-;3031
60;23/07/2007;16.02;-1.4;-;3125
60;12/11/2007;16.22;-1.2;-;3237
60;04/02/2008;16.12;-1.3;-;3321
60;23/04/2008;16.15;-1.27;-;3400
60;17/07/2008;16.09;-1.33;-;3485
60;04/11/2008;;;N.R.;3595
60;05/02/2009;16.32;-1.1;-;3688
60;08/05/2009;;;N.R.;3780
60;21/07/2009;16.69;-0.73;-;3854
60;02/11/2009;16.69;-0.73;-;3958
60;04/02/2010;16.67;-0.75;-;4052
60;23/04/2010;16.72;-0.7;-;4130
60;19/07/2010;16.55;-0.87;-;4217
60;24/01/2011;16.97;-0.45;-;4406
60;29/04/2011;16.87;-0.55;-;4501
60;15/07/2011;16.82;-0.6;-;4578
60;15/11/2011;16.89;-0.53;-;4701
60;22/02/2012;16.77;-0.65;-;4800
60;27/04/2012;16.47;-0.95;-;4865
60;17/07/2012;16.32;-1.1;-;4946
60;15/11/2012;16.58;-0.84;-;5067
60;30/01/2013;16.8;-0.62;-;5143
60;03/05/2013;16.8;-0.62;-;5236
60;29/07/2013;16.48;-0.94;-;5323
60;04/11/2013;16.75;-0.67;-;5421
60;05/02/2014;16.65;-0.77;-;5514
60;24/04/2014;16.85;-0.57;-;5592
60;14/07/2014;16.69;-0.73;-;5673
60;28/10/2014;16.64;-0.78;-;5779
60;12/02/2015;16.58;-0.84;-;5886
60;27/04/2015;16.52;-0.9;-;5960
60;23/07/2015;16.23;-1.19;-;6047
60;02/11/2015;16.12;-1.3;-;6149
60;02/02/2016;15.92;-1.5;-;6241
60;03/05/2016;15.94;-1.48;-;6332
60;08/07/2016;15.82;-1.6;-;6398
60;02/11/2016;15.97;-1.45;-;6515
60;30/01/2017;15.95;-1.47;-;6604
60;11/04/2017;15.74;-1.68;-;6675
60;07/07/2017;15.52;-1.9;-;6762
60;24/10/2017;15.59;-1.83;-;6871
60;22/01/2018;15.72;-1.7;-;6961
60;12/04/2018;15.9;-1.52;-;7041
60;12/07/2018;15.52;-1.9;-;7132
60;29/10/2018;15.76;-1.66;-;7241
60;30/01/2019;15.62;-1.8;-;7334
60;11/04/2019;15.68;-1.74;-;7405
60;15/07/2019;15.62;-1.8;-;7500
60;04/11/2019;15.9;-1.52;-;7612
60;29/01/2020;16.22;-1.2;-;7698
60;20/04/2020;;;N.R.;7780
60;07/05/2020;16.33;-1.09;-;7797
60;08/07/2020;16.19;-1.23;-;7859
60;04/11/2020;16.18;-1.24;-;7978
60;27/01/2021;16.33;-1.09;-;8062
60;12/04/2021;16.13;-1.29;-;8137
60;07/07/2021;16.11;-1.31;-;8223
60;27/10/2021;16.08;-1.34;-;8335
66;06/05/1999;11.79;-2.41;-;125
66;27/07/1999;10.57;-3.63;-;207
66;17/11/1999;12.17;-2.03;-;320
66;21/01/2000;11.91;-2.29;-;385
66;21/04/2000;11.95;-2.25;-;476
66;19/07/2000;10.6;-3.6;-;565
66;10/11/2000;12.47;-1.73;-;679
66;07/02/2001;12.08;-2.12;-;768
66;24/04/2001;12.2;-2;-;844
66;19/07/2001;11.06;-3.14;-;930
66;09/11/2001;10.89;-3.31;-;1043
66;01/02/2002;11.52;-2.68;-;1127
66;07/05/2002;12.18;-2.02;-;1222
66;24/07/2002;11.85;-2.35;-;1300
66;14/11/2002;11.8;-2.4;-;1413
66;07/02/2003;12.3;-1.9;-;1498
66;07/05/2003;11.75;-2.45;-;1587
66;29/07/2003;10.66;-3.54;-;1670
66;07/11/2003;10.43;-3.77;-;1771
66;02/02/2004;11.76;-2.44;-;1858
66;14/05/2004;12.15;-2.05;-;1960
66;09/08/2004;10.93;-3.27;-;2047
66;12/11/2004;11.38;-2.82;-;2142
66;31/01/2005;;;N.R.;2222
66;02/05/2005;12.02;-2.18;-;2313
66;29/07/2005;10.6;-3.6;-;2401
66;14/11/2005;12.17;-2.03;-;2509
66;06/02/2006;;;N.R.;2593
66;29/05/2006;11.65;-2.55;-;2705
66;21/07/2006;;;N.R.;2758
67;10/05/1999;14.34;-1.83;-;129
67;27/07/1999;12.61;-3.56;-;207
67;22/11/1999;14.66;-1.51;-;325
67;21/01/2000;14.23;-1.94;-;385
67;21/04/2000;14.3;-1.87;-;476
67;19/07/2000;13.64;-2.53;-;565
67;10/11/2000;14.84;-1.33;-;679
67;05/02/2001;14.76;-1.41;-;766
67;24/04/2001;14.77;-1.4;-;844
67;19/07/2001;13.86;-2.31;-;930
67;09/11/2001;13.94;-2.23;-;1043
67;01/02/2002;14.46;-1.71;-;1127
67;07/05/2002;14.75;-1.42;-;1222
67;24/07/2002;14.54;-1.63;-;1300
67;14/11/2002;14.37;-1.8;-;1413
67;07/02/2003;14.63;-1.54;-;1498
67;07/05/2003;13.81;-2.36;-;1587
67;29/07/2003;13.78;-2.39;-;1670
67;07/11/2003;14;-2.17;-;1771
67;02/02/2004;14.54;-1.63;-;1858
67;14/05/2004;14.74;-1.43;-;1960
67;09/08/2004;14.14;-2.03;-;2047
67;15/11/2004;14.84;-1.33;-;2145
67;31/01/2005;;;N.R.;2222
67;27/04/2005;14.97;-1.2;-;2308
67;29/07/2005;12.84;-2.94;-;2401
67;09/11/2005;14.7;-1.08;-;2504
67;06/02/2006;;;N.R.;2593
67;29/05/2006;14.09;-1.69;-;2705
67;24/07/2006;13.56;-2.22;-;2761
67;08/11/2006;13.67;-2.11;-;2868
67;05/02/2007;14.08;-1.7;-;2957
67;02/05/2007;13.76;-2.02;-;3043
67;25/07/2007;13.53;-2.25;-;3127
67;06/11/2007;13.78;-2;-;3231
67;04/02/2008;14.33;-1.45;-;3321
67;21/04/2008;14.55;-1.23;-;3398
67;17/07/2008;14.23;-1.55;-;3485
67;04/11/2008;13.93;-1.85;-;3595
67;05/02/2009;14.73;-1.05;-;3688
67;14/05/2009;14.39;-1.39;-;3786
67;20/07/2009;13.85;-1.93;-;3853
67;02/11/2009;13.73;-2.05;-;3958
67;02/02/2010;14.41;-1.37;-;4050
67;20/04/2010;14.38;-1.4;-;4127
67;19/07/2010;13.98;-1.8;-;4217
67;25/01/2011;14.38;-1.4;-;4407
67;18/04/2011;14.08;-1.7;-;4490
67;08/07/2011;13.78;-2;-;4571
67;07/11/2011;14.22;-1.56;-;4693
67;21/02/2012;13.88;-1.9;-;4799
67;17/04/2012;14.28;-1.5;-;4855
67;09/07/2012;13.11;-2.67;-;4938
67;31/10/2012;14.1;-1.68;-;5052
68;10/05/1999;-0.47;-2.19;-;129
68;29/07/1999;-1.38;-3.1;-;209
68;23/11/1999;-0.98;-2.7;-;326
68;17/01/2000;-0.74;-2.46;-;381
68;19/04/2000;-0.28;-2;-;474
68;19/07/2000;-1.47;-3.19;-;565
68;13/11/2000;-1.48;-3.2;-;682
68;05/02/2001;-0.78;-2.5;-;766
68;18/04/2001;0.26;-1.46;-;838
68;16/07/2001;-1.18;-2.9;-;927
68;05/11/2001;-1.81;-3.53;-;1039
68;28/01/2002;-1.3;-3.02;-;1123
68;06/05/2002;-0.91;-2.63;-;1221
68;22/07/2002;-1.89;-3.61;-;1298
68;06/11/2002;;;N.R.;1405
68;28/01/2003;0.05;-1.67;-;1488
68;29/04/2003;-0.99;-2.71;-;1579
68;22/07/2003;-2.09;-3.81;-;1663
68;03/11/2003;-1.66;-3.85;-;1767
68;27/01/2004;-1.25;-3.44;-;1852
68;08/05/2004;-0.24;-2.43;-;1954
68;02/08/2004;-1.44;-3.63;-;2040
68;16/11/2004;-1.17;-3.36;-;2146
68;31/01/2005;;;N.R.;2222
68;29/04/2005;-0.61;-2.8;-;2310
68;25/07/2005;-1.57;-3.76;-;2397
68;08/11/2005;0.02;-2.17;-;2503
68;06/02/2006;;;N.R.;2593
68;05/06/2006;-0.72;-2.91;-;2712
68;27/07/2006;-1.06;-3.25;-;2764
68;06/11/2006;-1.09;-3.28;-;2866
68;07/02/2007;-0.88;-3.07;-;2959
68;30/04/2007;-0.76;-2.95;-;3041
68;30/07/2007;-1.76;-3.95;-;3132
68;27/11/2007;-1.44;-3.63;-;3252
68;12/02/2008;-1.19;-3.38;-;3329
68;06/05/2008;-1.52;-3.71;-;3413
68;23/07/2008;-1.78;-3.97;-;3491
68;10/11/2008;;;N.R.;3601
68;11/02/2009;0.049;-2.14;-;3694
68;12/05/2009;-0.06;-2.25;-;3784
68;21/07/2009;-1.03;-3.22;-;3854
68;03/11/2009;-1.2;-3.39;-;3959
69;13/05/1999;34.12;-1.62;-;132
69;21/07/1999;34.24;-1.5;-;201
69;09/11/1999;33.9;-1.84;-;312
69;24/01/2000;33.99;-1.75;-;388
69;20/04/2000;34.08;-1.66;-;475
69;19/07/2000;34.17;-1.57;-;565
69;06/11/2000;34.85;-0.89;-;675
69;07/02/2001;;;N.R.;768
69;23/04/2001;;;N.R.;843
69;19/07/2001;34.44;-1.3;-;930
69;06/11/2001;;;N.R.;1040
69;29/01/2002;;;N.R.;1124
69;23/04/2002;;;N.R.;1208
69;31/07/2002;;;N.R.;1307
69;22/11/2002;35.24;-0.5;-;1421
69;07/02/2003;34.12;-1.62;-;1498
69;05/05/2003;33.89;-1.85;-;1585
69;24/07/2003;34.96;-0.78;-;1665
69;05/11/2003;34.2;-1.54;-;1769
69;28/01/2004;34.12;-1.62;-;1853
69;05/05/2004;34.55;-1.19;-;1951
69;09/08/2004;34.32;-1.42;-;2047
69;15/11/2004;34.29;-1.45;-;2145
